Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
528;śląskie;bielski;Gmina;Wilkowice;Bystra, ul. Klimczoka 68;Modernizacja, budowa boiska wielofunkcyjnego, budowa skoczni do skoku w dal oraz siłowni i placu zabaw;75000
529;śląskie;bielski;Gmina;Wilkowice;Wilkowice, ul. Szkolna 8a;Przebudowa, budowa boiska piłkarskiego na boisko wielofunkcyjne wraz z budową bieżni okrężnej, bieżni prostej i infrastruktury lekkoatletycznej;1002900
530;śląskie;bieruńsko-lędziński;Gmina;Bieruń;Bieruń, Węglowa 11;Modernizacja krytej pływalni;562000
531;śląskie;bieruńsko-lędziński;Miasto;Imielin;Imielin, ul. Dąbrowskiej;Budowa sali gimnastycznej;1988300
532;śląskie;bytomski;Inny;Bytomski Sport sp. z o.o.;Bytom, ul. Olimpijska 2;Modernizacja boiska treningowego klubu Polonia Bytom;1596100
533;śląskie;cieszyński;Miasto;Ustroń;"Ustroń, ul. Hutnicza; ul. Partyzantów";Modernizacja 2 placów zabaw;241000
534;śląskie;cieszyński;Gmina;Wisła;Wisła, ul. Biała Wisełka 6;Budowa boiska wielofunkcyjnego, boiska piłkarskiego, bieżni okrężnej 2-torowej i skoczni do skoku w dal;126000
535;śląskie;częstochowski;Powiat;Częstochowski;Bogumiłek, ul. Biała Wielka 208 A;Budowa sali gimnastycznej z zapleczem;806100
536;śląskie;częstochowski;Gmina;Olsztyn;Olsztyn, ul. Kuhna 18;Budowa, remont boiska wielofunkcyjnego bieżni okrężnej 2 -torowej o długoścoi 155 m oraz remont budynku zaplecza sportowego;129000
537;śląskie;częstochowski;Gmina;Rędziny;Kościelec, ul. Wolności 93;Przebudowa budynku socjalnego przy boisku piłkarskim;95700
538;śląskie;częstochowski;Gmina;Rędziny;Rędziny, ul. Szkolna 7;Rozbudowa zaplecza sali gimnastycznej;197700
539;śląskie;gliwicki;Gmina;Pilchowice;"Żernica, ul. Górnicza; Stanica, ul.Sportowa";Przebudowa 2 boisk piłkarskich w Żernicy i 2 boisk piłkarskich w Stanicy;1501600
540;śląskie;gliwicki;Gmina;Sośnicowice;Sośnicowice, ul. Gliwicka 21;Budowa sali gimnastycznej;762100
541;śląskie;kłobucki;Gmina Miejska;Kłobuck;Kłobuck, ul. Baczyńskiego 2;Budowa boiska wielofunkcyjnego i bieżni prostej;248500
542;śląskie;kłobucki;Gmina Miejska;Kłobuck;Kłobuck, ul. Szkolna 1;Przebudowa boiska wielofunkcyjnego;92200
543;śląskie;kłobucki;Gmina;Krzepice;Krzepice, ul. Mickiewicza 13/17;Budowa boiska wielofunkcyjnego z bieżnią prostą;132600
544;śląskie;lubliniecki;Gmina;Lubliniec;Lubliniec, ul. 74 G.P.P.;Budowa boiska piłkarskiego;698000
545;śląskie;m. Bielsko-Biała;Miasto;Bielsko-Biała;Bielsko-Biała, ul. Zapłocie Duże 1;Budowa boiska wielofunkcyjnego i skoczni do skoku w dal i trójskoku;161000
546;śląskie;m. Bielsko-Biała;Miasto;Bielsko-Biała;Bielsko-Biała, ul. Ks. Brzóski;Modernizacja boiska wielofunkcyjnego;118000
547;śląskie;m. Bielsko-Biała;Miasto;Bielsko-Biała;Bielsko-Biała, ul. Komorowicka 27;Budowa boiska wielofunkcyjnego oraz skoczni do skoku w dal;128600
548;śląskie;m. Bytom;Gmina;Bytom;Bytom, ul. Dzierżonia;Przebudowa boiska piłkarskiego;1930700
549;śląskie;m. Chorzów;Miasto;Chorzów;Chorzów, ul. Okrężna;Budowa boiska wielofunkcyjnego, placu zabaw i siłowni plenerowej;831000
550;śląskie;m. Chorzów;Miasto;Chorzów;Chorzów, ul. Dąbrowskiego 113;Modernizacja podłogi hali sportowej;172700
551;śląskie;m. Chorzów;Inny;Stadion Śląski Sp. z o.o.;Chorzów, ul. Katowicka 10;Budowa stadionu l.a. - kat. I;10000000
552;śląskie;m. Częstochowa;Miasto;Częstochowa;Częstochowa, ul. Baczyńskiego 2a;Budowa boiska wielofunkcyjnego;98100
553;śląskie;m. Częstochowa;Miasto;Częstochowa;Częstochowa, ul. Warszawska 142;Budowa boiska wielofunkcyjnego;97900
554;śląskie;m. Dąbrowa Górnicza;Gmina;Dąbrowa Górnicza;Dąbrowa Górnicza, ul. Morcinka 4;Modernizacja krytej pływalni;940000
555;śląskie;m. Gliwice;Miasto;Gliwice;Gliwice, ul. Wrzosowa 14;Modernizacja boisk: wielofunkcyjnego, do piłki siatkowej, do koszykówki oraz bieżni prostej 60-metrowej i skoczni do skoku w dal;339800
556;śląskie;m. Jastrzębie-Zdrój;Miasto;Jastrzębie-Zdrój;Jastrzębie-Zdrój, ul. Moniuszki;Budowa boiska piłkarskiego;155000
557;śląskie;m. Jaworzno;Miasto;Jaworzno;Jaworzno;Remont boiska wielofunkcyjnego przy SP nr 5 i boiska wielofunkcyjnego przy SP nr 18;72100
558;śląskie;m. Jaworzno;Gmina Miasta;Jaworzno;Jaworzno, ul. Kasztanowa 33;Budowa sali gimanstycznej i boiska wielofunkcyjnego;644000
559;śląskie;m. Mysłowice;Gmina Miasto;Mysłowice;Mysłowice, ul. Wielka Skotnica 84a;Budowa 2 boisk wielofunkcyjnych oraz boiska do piłki siatkowej, plażowej;116700
560;śląskie;m. Piekary Śląskie;Gmina;Piekary Śląskie;Piekary Śląskie, ul. Olimpijska 3;Budowa boiska wielofunkcyjnego oraz dwóch kortów tenisowych;392000
561;śląskie;m. Piekary Śląskie;Miasto;Piekary Śląskie;Piekary Śląskie, ul. Generała Ziętka 60;Remont zaplecza sanitarno-szatniowego i siłowni hali sportowej;146000
562;śląskie;m. Ruda Śląska;Miasto;Ruda Śląska;Ruda Śląska, Główna 40;Budowa sali gimnastycznej wraz z zapleczem;1094000
563;śląskie;m. Ruda Śląska;Miasto;Ruda Śląska;Ruda Śląska, ul. Bytomska 15, ul. Norwida 10, ul. Gwarecka 2, ul. Energetyków 15;Budowa czterech torów rowerowych, w tym 3 typu pumtrack;166000
564;śląskie;m. Ruda Śląska;Miasto;Ruda Śląska;Ruda Śląska, ul. Jasna/Basenowa;Budowa boisk: do piłki siatkowej, do koszykówki, do piłki nożnej;199300
565;śląskie;m. Sosnowiec;Gmina Miejska;Sosnowiec;Sosonowiec, Bohaterów Monte Cassino 46;Budowa krytej pływalni;3100000
566;śląskie;m. Sosnowiec;Gmina Miasto;Sosnowiec;Sosnowiec, ul. Przyjaciół Żołnierza 1;Budowa 2 boisk (wielofunkcyjnego i do siatkówki);230000
567;śląskie;m. Świętochłowice;Gmina;Świętochłowice;Świętochłowice, ul. B. Chrobrego 4;Budowa boiska wielofunkcyjnego i boiska piłkarskiego;136000
568;śląskie;m. Tychy;Miasto;Tychy;Tychy, al. Bielska 100;Budowa boiska wielofunkcyjnego;185600
569;śląskie;m. Tychy;Miasto;Tychy;Tychy, ul. Edukacji;Budowa stadionu lekkoatletycznego - kat. IIIA;6000000
570;śląskie;m. Zabrze;Miasto;Zabrze;Zabrze, ul. Czołgistów 1;Budowa sali gimnastycznej z zapleczem socjalnym i łącznikiem;423000
571;śląskie;m. Żory;Gmina Miejska;Żory;Żory, os. Sikorskiego 52;Budowa hali sportowej;545000
572;śląskie;m. Żory;Gmina Miejska;Żory;Żory, os. Ks. Władysława, ul. Rybnicka 5;Budowa 2 boisk wielofunkcyjnych;195000
573;śląskie;mikołowski;Gmina Miejska;Łaziska Górne;Łaziska Górne;Budowa siłowni zewnętrznej, placu do street workout i 2 placów zabaw;255800
574;śląskie;mikołowski;Miasto;Orzesze;"Orzesze, ul. Uczniowska 1; ul. Wiosny Ludów";Budowa boiska wielofunkcyjnego z bieżnią prostą i skocznią do skoku w dal przy Gimnajum nr 3 oraz budowa placu zabaw;235000
575;śląskie;pszczyński;Gmina;Kobiór;Kobiór, ul. Tuwima 33;Budowa sali gimnastycznej;2172000
576;śląskie;raciborski;Gmina;Krzyżanowice;Bieńkowice, ul. Szkolna 1;Przebudowa boiska wielofunkcyjnego, kortu tenisowego i skoczni do skoku w dal;209400
577;śląskie;raciborski;Gmina;Nędza;Nędza, ul. Sportowa 10;Modernizacja, budowa, doposażenie infrastruktury boiska piłkarskiego, budowa siłowni zewnętrznej i doposażenie siłowni w budynku zaplecza sportowego;100000
578;śląskie;raciborski;Miasto;Racibórz;Racibórz, ul. Srebrna 12;Modernizacja, dobudowa zaplecza sanitarno-szatniowo-magazynowego wraz z dobudową 2 modułów zaplecza sanitarno-szatniowego boiska piłkarskiego;132000
579;śląskie;raciborski;Miasto;Racibórz;Racibórz, ul. Zamkowa 4;Modernizacja stadionu lekkoatletycznego;5000000
580;śląskie;rybnicki;Gmina i Miasto;Czerwionka-Leszczyny;Czerwionka-Leszczyny, ul. Ks. Pojdy 77c;Budowa boiska wielofunkcyjnego;125700
581;śląskie;rybnicki;Gmina;Gaszowice;Czernica, ul. Wolności;Budowa boiska wielofunkcyjnego;147200
582;śląskie;tarnogórski;Klub sportowy;Ludowy Zespół Jeździecki DRAMA Zbrosławice;Zbrosławice, ul. Wolności 28;Modernizacja placu do jazdy konnej na obiekcie jeździeckim ;200000
583;śląskie;tarnogórski;Gmina;Ożarowice;Tąpkowice, ul. Kopernika 2;Przebudowa boiska wielofunkcyjnego;309000
584;śląskie;tarnogórski;Gmina;Świerklaniec;Świerklaniec, ul. Wolności;Budowa boiska sportowego wielofunkcyjnego;157000
585;śląskie;wodzisławski;Gmina;Gorzyce;Czyżowice, ul. Rogowska;Budowa bieżni prostej 4-torowej;103100
586;śląskie;zawierciański;Gmina;Zawiercie;Zawiercie, ul. Niedziałkowskiego 21;Budowa boiska do piłki ręcznej, boiska wielofunkcyjnego, biezni prostej, skoczni do skoku w dal i siłowni zewnętrznej;341000
587;śląskie;żywiecki;Gmina;Łękawica;Łękawica, ul.Sportowa 5, ul. Żywiecka 82;Remont, budowa boiska wielofunkcyjnego oraz budowa zaplecza sanitarno-szatniowego;328300
588;świętokrzyskie;buski;Powiat;Buski;Busko-Zdrój, ul. Mickiewicza 13;Przebudowa, budowa 2 boisk(wielofunkcyjnego i do piłki ręcznej), budowa 4-torowej bieżni prostej o dł. 100 m i skoczni w dal, budowa zewnętrznej siłowni plenerowej;293600
589;świętokrzyskie;jędrzejowski;Gmina;Wodzisław;Wodzisław, ul. Szkolna 4;Budowa boiska wielofunkcyjnego;246300
590;świętokrzyskie;kielecki;Gmina;Daleszyce;"Słopiec; Szczecno";Budowa boiska wielofunkcyjnego w Szczecnie i boiska piłkarskiego w Słopcu;165600
591;świętokrzyskie;kielecki;Gmina;Masłów;Masłów Pierwszy;Budowa boiska wielofunkcyjnego;192300
592;świętokrzyskie;kielecki;Gmina;Mniów;Grzymałków, ul. Świętokrzyska 22;Budowa boiska wielofunkcyjnego, bieżni prostej 3-torowej, skoczni do skoku w dal;296200
593;świętokrzyskie;kielecki;Gmina;Mniów;Zaborowice;Budowa boiska piłkarskiego, boiska wielofunkcyjnego, bieżni okrężnej 3-torowej, bieżni prostej 3-torowej, skoczni do skoku w dal ;528600
594;świętokrzyskie;kielecki;Gmina;Morawica;Brzeziny, Wola Morawicka;Budowa boiska wielofunkcyjnego, skoczni do skoku w dal i rzutni do pchnięcia kulą w Brzezinach i boiska wielofunkcyjnego w Woli Morawickiej;200000
595;świętokrzyskie;kielecki;Gmina;Strawczyn;Strawczyn, Żeromskiego 12;Nadbudowa łącznika i zaplecza sali gimnastycznej;710600
596;świętokrzyskie;konecki;Gmina;Końskie;Końskie, ul. Południowa, ul. Browarna;Budowa skateparku, placu zabaw oraz 2 boisk do siatkówki plażowej;142500
597;świętokrzyskie;konecki;Gmina;Radoszyce;Radoszyce, ul. Krakowska 103, ul. Ogrodowa 21;Przebudowa, remont bieżni okrężnej 4-torowej o długości 400 m i boiska piłkarskiego treningowego na obiekcie sportowo-rekreacyjnym oraz remont podłogi w hali sportowej;676100
598;świętokrzyskie;konecki;Gmina;Smyków;Miedzierza 79;Remont sali gimnastycznej;241680
599;świętokrzyskie;ostrowiecki;Gmina;Ostrowiec Świętokrzyski;Ostrowiec Świętokrzyski, ul. Mickiewicza 32;"Modernizacja i wyposażenie krytej pływalni olimpijskiej ""Rawszczyzna""";209900
600;świętokrzyskie;sandomierski;Gmina;Klimontów;Goźlice, Klimontów, Krobielice, Olbierzowice, Ossolin, Byszów;Budowa boiska wielofunkcyjnego, skoczni do skoku w dal i placu zabaw przy SP w Klimontowie, boiska do piłki nożnej przy SP w Goźlicach, siłowni zewnętrznej w miejscowości Krobielice, 3 placów zabaw w miejscowościach Olbierzowice, Ossolin i Byszów;238600
601;świętokrzyskie;starachowicki;Gmina;Mirzec;Tychów Stary;Budowa sali gimnastycznej;800000
602;świętokrzyskie;starachowicki;Gmina;Mirzec;Mirzec Stary;Remont hali sportowej;102000
603;świętokrzyskie;starachowicki;Gmina;Pawłów;Pawłów;Budowa hali sportowej z łącznikiem;3500000
604;świętokrzyskie;starachowicki;Gmina;Pawłów;Szerzawy;Budowa boiska piłkarskiego i boiska wielofunkcyjnego;645700
605;świętokrzyskie;starachowicki;Gmina;Starachowice;Starachowice, ul. 1 Maja 11;Budowa 2 placów zabaw i 2 siłowni plenerowych;88000
606;świętokrzyskie;starachowicki;Gmina;Starachowice;Starachowice, ul. Armii Krajowej, ul. Jana Pawła II;Budowa boiska wielofunkcyjnego, mini boiska piłkarskiego, 4-torowej bieżni prostej, skoczni do skoku w dal i rzutni do pchnięcia kula przy ul. Armii Krajowej i boiska wielofunkcyjnego przy ul. Jana Pawła II;834500
607;świętokrzyskie;staszowski;Powiat;Staszowski;Staszów, ul. Szkolna 11;Modernizacja Sali gimnastycznej, boiska wielofunkcyjnego oraz urządzeń lekkoatletycznych;146900
608;świętokrzyskie;staszowski;Gmina;Staszów;Staszów, ul. Koszarowa;Modernizacja boiska treningowego;887500
609;świętokrzyskie;włoszczowski;Gmina;Krasocin;Oleszno, ul. Szkolna 34;Budowa boiska wielofunkcyjnego;136500
610;świętokrzyskie;włoszczowski;Gmina;Krasocin;Krasocin, ul. Floriańska 1;Budowa boiska wielofunkcyjnego;117300
611;świętokrzyskie;włoszczowski;Gmina;Włoszczowa;Włoszczowa;Budowa kompleksu sportowego (bieżnia okrężna 4-torowa o długości 250 m, bieżnia prosta 4-torowa o długości 120 m, 2 boiska wielofunkcyjne, skocznia do skoków w dal) oraz boiska wielofunkcyjnego i skoczni do skoków w dal;619706
612;warmińsko-mazurskie;braniewski;Gmina Miasta;Braniewo;Braniewo, ul. Konarskiego;Remont Sali gimnastycznej;159000
613;warmińsko-mazurskie;działdowski;Powiat;Działdowski;Działdowo, ul. Grunwaldzka 4;Budowa boiska wielofunkcyjnego;115000
614;warmińsko-mazurskie;działdowski;Gmina;Płośnica;Rutkowice, Niechłonin, Płośnica;Budowa, rozbudowa boiska wielofunkcyjnego w Rutkowicach, rozbudowa boiska piłkarskiego przy SP w Niechłoninie oraz budowa boiska do siatkówki plażowej i siłowni zewnętrznej w Płośnicy;155000
615;warmińsko-mazurskie;ełcki;Gmina Miasto;Ełk;Ełk, ul. Grodzieńska 1;Budowa trzech boisk wielofunkcyjnych;195000
616;warmińsko-mazurskie;giżycki;COS;COS OPO w Giżycku;Giżycko, ul. Moniuszki 22;"Rozbiórka internatu sportowego ""Domont"", dwóch domków murowanych, magazynu oraz sauny terenowej";280000
617;warmińsko-mazurskie;giżycki;COS;COS OPO w Giżycku;Giżycko, ul. Moniuszki 22;Zakup podłogi amortyzującej do sportów walki;78000
618;warmińsko-mazurskie;giżycki;Gmina Miejska;Giżycko;Giżycko, ul. Wodociągowa 8;Modernizacja sali gimnastycznej;145000
619;warmińsko-mazurskie;giżycki;Gmina;Giżycko;Wilkasy, ul. Olsztyńska;Budowa kompleksu lekkoatletycznego;337100
620;warmińsko-mazurskie;giżycki;Gmina Miejska;Giżycko;Giżycko, ul. Moniuszki;Budowa stadionu lekkoatletycznego - kat. VA;2000000
621;warmińsko-mazurskie;iławski;Gmina Miejska;Iława;Iława, ul. Niepodległości 11b;Modernizacja hali sportowej;1150000
622;warmińsko-mazurskie;iławski;Gmina;Susz;Babięty Wielkie 31;Budowa boiska wielofunkcyjnego;129100
623;warmińsko-mazurskie;kętrzyński;Gmina Miejska;Kętrzyn;Kętrzyn, ul. Chopina 20;Budowa kompleksu lekkoatletycznego w ramach przebudowy stadionu miejskiego;1500000
624;warmińsko-mazurskie;kętrzyński;Powiat;Kętrzyński;Kętrzyn, ul. Poznańska 21;Modernizacja Sali gimnastycznej;220000
625;warmińsko-mazurskie;m. Elbląg;Gmina Miasto;Elbląg;Elbląg, ul. Robotnicza 68;Modernizacja krytej pływalni;2731000
626;warmińsko-mazurskie;m. Elbląg;Gmina Miasto;Elbląg;Elbląg, ul. Agrykola 8;Modernizacja budynku zaplecza;1493700
627;warmińsko-mazurskie;m. Olsztyn;Gmina;Olsztyn;Olsztyn, ul. J. Piłsudskiego 56, ul. M. Grzegorzewskiej 6, ul. Zamenhofa, ul. Wyspiańskiego, ul. Świtycz-Widackiej, ul. Barcza, ul. Kołobrzeskiej 20, ul. Dworcowa;Budowa, modernizacja siłowni zewnętrznych i modernizacja placów zabaw;160000
628;warmińsko-mazurskie;m. Olsztyn;Szkoła/Uczelnia;Uniwersytet Warmińsko-Mazurski w Olsztynie;Olsztyn, Kortowo, ul. Oczapowskiego;Modernizacja stadionu lekkoatletycznego;3500000
629;warmińsko-mazurskie;mrągowski;Gmina Miasto;Mrągowo;Mrągowo,, ul. Mrongowiusza 1;Modernizacja boiska piłkarskiego - dolnej płyty;735600
630;warmińsko-mazurskie;mrągowski;Gmina;Sorkwity;Zyndaki;Budowa sali gimnastycznej;700000
631;warmińsko-mazurskie;nidzicki;Gmina;Janowo;Janowo, ul. Chorzelska 21;Budowa boiska wielofunkcyjnego;144200
632;warmińsko-mazurskie;nidzicki;Gmina;Kozłowo;Kozłowo (2 lokalizacje), Sątop, Cebulki, Niedanowo, Pielgrzymowo, Lipowo, Szkudaj, Gołębiewo;Modernizacja placów zabaw;100000
633;warmińsko-mazurskie;nidzicki;Powiat;Nidzicki;Nidzica, ul. Jagiełły 1;Modernizacja sali gimnastycznej i boisk trawiastych - etap II;352500
634;warmińsko-mazurskie;nowomiejski;Gmina;Kurzętnik;Kurzętnik, ul. Betoniarska 8a;Modernizacja budynku siłowni i pomieszczeń do sportów walki;250300
635;warmińsko-mazurskie;olsztyński;Powiat;Olsztyński;Biskupiec, ul. Chrobrego 13;Budowa hali sportowej z łącznikiem;1600000
636;warmińsko-mazurskie;olsztyński;Gmina;Purda;Purda;Budowa boiska wielofunkcyjnego - etap I;116800
637;warmińsko-mazurskie;piski;Powiat;Piski;Łupki 15;Budowa sali gimnastycznej z zapleczem;1002600
638;warmińsko-mazurskie;szczycieński;Gmina;Szczytno;Wawrochy, Czarkowy Grąd, Rudka, Leśny Dwór, Marksewo, Lemany, Stare Kiejkuty, Olszyny;Budowa obiektów sportowych - boisko wielofunkcyjne, place zabaw, siłownie plenerowe;110000
639;wielkopolskie;chodzieski;Gmina;Margonin;Adolfowo;Budowa boiska piłkarskiego;94600
640;wielkopolskie;czarnkowsko-trzcianecki;Gmina;Połajewo;Boruszyn 25;Budowa boiska wielofunkcyjnego;279700
641;wielkopolskie;czarnkowsko-trzcianecki;Gmina;Wieleń;Wieleń, ul. Jaryńska;Budowa hali sportowej;1482000
642;wielkopolskie;gostyński;Powiat;Gostyński;Grabonóg 63;Przebudowa boiska wielofunkcyjnego;195000
643;wielkopolskie;grodzki;Gmina;Kamieniec;"Kamieniec, ul. Słoneczna 2; Parzęczewo 25";Budowa boiska do piłki ręcznej ;129700
644;wielkopolskie;jarociński;Gmina;Jarocin;"Jarocin, ul. Sportowa; Witaszyce, ul. Kolejowa";Modernizacja 2 boisk piłkarskich w Jarocinie oraz boiska piłkarskiego w Witaszycach;1637700
645;wielkopolskie;jarociński;Powiat;Jarociński;Tarce 19;Przebudowa boiska wielofunkcyjnego;231500
646;wielkopolskie;jarociński;Gmina;Kotlin;Wola Książęca;Budowa boiska wielofunkcyjnego i 4-torowej bieżni prostej o długości  60 m;128700
647;wielkopolskie;kaliski;Gmina;Szczytniki;Marchwacz 27, Radliczyce 72;Budowa 2 sal gimnastycznych;2800000
648;wielkopolskie;kępiński;Powiat;Kępiński;Słupia pod Kępnem, ul. Katowicka;Remont pływalni;977400
649;wielkopolskie;kępiński;Gmina;Kępno;Kępno, ul. Walki Młodych 9;Remont i termomodernizacja  hali sportowej;567200
650;wielkopolskie;kępiński;Gmina;Trzcinica;Trzcinica, ul. Szkolna 2a, Laski ul. Lipowa 34;Budowa bieżni 2 - torowej prostej 60 m wraz ze skocznią do skoku w dal ;111200
651;wielkopolskie;kolski;Gmina Miejska;Koło;Koło, ul. Sportowa 12, ul. Szkolna 2b;Modernizacja, remont boiska piłkarskiego na stadionie miejskim oraz remont hali sportowej przy ul. Szkolnej;161900
652;wielkopolskie;kolski;Gmina;Przedecz;Przedecz, ul. Szkolna;Nadbudowa i rozbudowa zaplecza sanitarno-szatniowego istniejącej Sali gimnastycznej o salę do ćwiczeń gimnastycznych i korekcyjnych;233200
653;wielkopolskie;koniński;Gmina;Golina;Golina, ul. Wolności 20/ Konopnickiej;Budowa hali sportowej;1800000
654;wielkopolskie;koniński;Gmina;Golina;Golina, ul. Konopnickiej, ul. Wolności;Budowa boiska wielofunkcyjnego oraz bieżni prostej 60 m;144000
655;wielkopolskie;koniński;Gmina;Kramsk;Kramsk, ul Konińska 18;Budowa boiska wielofunkcyjnego;148700
656;wielkopolskie;kościański;Gmina Miejska;Kościan;Kościań, Al.. T. Kościuszki 3;Przebudowa boiska wielofunkcyjnego;298100
657;wielkopolskie;m. Kalisz;Miasto;Kalisz;Kalisz, ul. Graniczna, ul. Łódzka, ul. Tuwima;Przebudowa, modernizacja 2 boisk piłkarskich przy ul. Granicznej i ul. Tuwima oraz modernizacja kortów tenisowych przy ul. Łódzkiej;2000000
658;wielkopolskie;m. Kalisz;Miasto;Kalisz;Kalisz, ul. Podmiejska (os. XXV-lecia), ul. Żwirki i Wigury;Budowa boiska do siatkówki plażowej przy SP nr 18 i boiska wielofunkcyjnego przy SP nr 9;150300
659;wielkopolskie;m. Konin;Miasto;Konin;Konin, ul. Kolska 2;Budowa sali gimnastycznej;1320000
660;wielkopolskie;m. Leszno;Miasto;Leszno;Leszno, ul.Strzelecka 9;Rozbudowa i przebudowa budynku kręgielni;1266100
661;wielkopolskie;m. Poznań;Miasto;Poznań;Poznań, ul. Warmińska 1;Modernizacja wież oświetleniowych;193800
662;wielkopolskie;międzychodzki;Powiat;Międzychodzki;Międzychód, ul. Sikorskiego 27;Przebudowa boiska wielofunkcyjnego;250800
663;wielkopolskie;międzychodzki;Gmina;Sieraków;Sieraków, ul. Poznańska 25;Budowa hali sportowej;2000000
664;wielkopolskie;nowotomyski;Gmina;Opalenica;Opalenica, ul. Poznańska 37;Modernizacja sali gimnastycznej;147600
665;wielkopolskie;obornicki;Gmina;Oborniki;"Oborniki, ul. Czarnkowska; Kiszewo 51";Budowa, przebudowa boiska wielofunkcyjnego i bieżni prostej w Obornikach oraz przebudowa boiska wielofunkcyjnego w Kiszewie;268100
666;wielkopolskie;obornicki;Gmina;Oborniki;Oborniki, ul. Objezierska;Przebudowa, modernizacja kompleksu lekkoatletycznego oraz modernizacja boiska piłkarskiego;949300
667;wielkopolskie;ostrowski;Gmina i Miasto;Nowe Skalmierzyce;Nowe Skalmierzyce, ul. Mostowa, ul. Kolejowa, ul. Polna;Budowa boiska piłkarskiego na stadionie miejskim;763700
668;wielkopolskie;ostrowski;Powiat;Ostrowski;Ostrów Wielkopolski, ul. Poznańska 43;Budowa 2 boisk wielofunkcyjnych;143200
669;wielkopolskie;ostrowski;Miasto i Gmina;Ostrów Wielkopolski;Ostrów Wielkopolski, ul. Asnyka 26;Budowa hali sportowej;1800000
670;wielkopolskie;ostrowski;Gmina Miasto;Ostrów Wielkopolski;Ostrów Wielkopolski, ul. Grabowska 1, ul. Bema 30, ul. Stafana Batorego 2;Przebudowa, budowa  boiska wielofunkcyjnego, budowa boiska wielofunkcyjnego oraz budowa boiska wielofunkcyjnego i 3-torowej bieżni prostej o dł. 60 m;313500
671;wielkopolskie;ostrzeszowski;Miasto i Gmina;Ostrzeszów;Ostrzeszów, ul. Piastowska 3;Przebudowa, budowa boiska piłkarskiego oraz budowa boiska wielofunkcyjnego, 2 boisk do siatkówki plażowej, 4-torowej bieżni okrężnej o długości 333 m z odcinkiem prostym i urządzen lekkoatletycznych;1000000
672;wielkopolskie;ostrzeszowski;Inny;Zakład Energetyki Cieplnej sp. Z o.o.;Ostrzeszów, ul. Tęczowa;Przebudowa boiska piłkarskiego;901400
673;wielkopolskie;pilski;Gmina;Piła;Piła, ul. Grottgera 4;Rozbudowa, budowa Centrum Sportowo-Rekreacyjnego Aquapark poprzez budowę krytej pływalni;2919496
674;wielkopolskie;pleszewski;Gmina;Dobrzyca;Lutynia;Budowa boiska wielofunkcyjnego;101100
675;wielkopolskie;pleszewski;Miasto i Gmina;Pleszew;Pleszew, ul. Szkolna;Modernizacja sali gimnastycznej;290700
676;wielkopolskie;pleszewski;Inny;Sport Pleszew sp. z o.o.;Pleszew, Al. Wojska Polskiego 17;Modernizacja boiska piłkarskiego;989500
677;wielkopolskie;poznański;Gmina;Czerwonak;Owińska, ul. Poprzeczna;Budowa hali sportowej;1400000
678;wielkopolskie;poznański;Inny;Gminny Ośrodek Kultury i Sportu;Kleszczewo;Budowa 4-torowej bieżni okrężnej o długości 400 m z odcinkiem prostym oraz skoczni do skoku w dal i trójskoku;167000
679;wielkopolskie;poznański;Gmina;Komorniki;Plewiska, ul. Prof.. Wacława Strażewicza 1;Budowa sali gimnastycznej;1200000
680;wielkopolskie;poznański;Gmina;Kostrzyn;Kostrzyn, ul. Powstańców Wielkopolskich 28A;Budowa 4-torowej bieżni okrężnej o dł. 200 m z odcinkiem prostym, skoczni do skoku w dal oraz skoczni do skoku wzwyż;161900
681;wielkopolskie;poznański;Gmina;Mosina;Krosno, ul. Krasickiego 16;Budowa hali sportowej;2500000
682;wielkopolskie;poznański;Miasto;Puszczykowo;Puszczykowo, ul. Podgórna;Budowa hali sportowej;2000000
683;wielkopolskie;poznański;Gmina;Stęszew;Stęszew, ul. Poznańska 22A;Budowa hali sportowej;1695100
684;wielkopolskie;poznański;Miasto;Swarzędz;Swarzędz, ul. Św. Marcina 1;"Modernizacja; budowa 4-torowej bieżni okrężnej o długości 400 m z odcinkiem prostym, treningowego boiska piłkarskiego oraz budowa zaplecza sanitarno-szatniowego, skoczni do skoku w dal, oświetlenia stadionu i systemu nawadniania boiska piłkarskiego na stadionie";1500000
685;wielkopolskie;rawicki;Powiat;Rawicki;Rawicz, ul. Wały Jarosława Dąbrowskiego 29;Przebudowa, budowa boiska wielofunkcyjnego i skoczni do skoku w dal oraz budowa bieżni prostej i placu fitness;274500
686;wielkopolskie;słupecki;Powiat;Słupecki;Słupca, ul. Powstańców Wielkopolskich 22;Remont sali gimnastycznej;114200
687;wielkopolskie;szamotulski;Inny;Centrum Sportu Szamotuły sp. z o.o.;Szamotuły, ul. Sportowa 6;Przebudowa boiska piłkarskiego;1206600
688;wielkopolskie;szamotulski;Stowarzyszenie;"Kultury Fizycznej ""Kolejorz""";Popowo;Modernizacja boiska piłkarskiego;1139900
689;wielkopolskie;szamotulski;Powiat;Szamotulski;Szamotuły, ul. Szczuczyńska 3;Przebudowa bieżni prostej, skoczni do skoku w dal i trójskoku, skoczni do skoku wzwyż oraz rzutni do pchnięcia kulą;175200
