Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
287;mazowieckie;m. st. Warszawa;Miasto;st. Warszawa/ Ursynów;Warszawa, ul. Sarabandy 16/22;Budowa sali gimnastycznej;498800
288;mazowieckie;m.st. Warszawa;COS;COS Warszawa;Warszawa, ul. Łazienkowska;Remont szatni i pomieszczeń sanitarnych w hali Torwar II - etap II;916000
289;mazowieckie;m.st.Warszawa;AWF;AWF J. Piłsudskiego w Warszawie;Warszawa, ul. Marymoncka 34;Modernizacja hali lekkoatletycznej im. J. Kusocińskiego;7900000
290;mazowieckie;makowski;Gmina;Krasnosielc;Drążdżewo 62;Budowa boiska wielofunkcyjnego i siłowni plenerowej;250000
291;mazowieckie;miński;Gmina;Jakubów;Mistów, ul. Szkolna 3;Budowa hali sportowej;1380700
292;mazowieckie;miński;Powiat;Miński;Mińsk Mazowiecki, Budowlana 1;Budowa hali sportowej;1740100
293;mazowieckie;miński;Gmina;Stanisławów;Pustelnik, ul. Szkolna 16;Budowa hali sportowej;1669600
294;mazowieckie;nowodworski;Gmina;Czosnów;Kazuń Polski;Budowa sali gimnastycznej;540900
295;mazowieckie;ostrołęcki;Gmina;Goworowo;"Kunin 22a; Pasieki, ul. Szkolna 2";Budowa 2 boisk wielofunkcyjnych;555100
296;mazowieckie;ostrołęcki;Gmina;Lelis;Białobiel, ul. Szkolna 1;Budowa sali gimnastycznej;1044000
297;mazowieckie;ostrołęcki;Gmina;Łyse;Lipniki, ul. Ks. Kan. E. Sierbińskiego 30;Budowa sali gimnastycznej;605000
298;mazowieckie;ostrołęcki;Gmina;Rzekuń;Borawe;Budowa boiska wielofunkcyjnego;94800
299;mazowieckie;ostrołęcki;Gmina;Rzekuń;Ołdaki;Przebudowa boiska wielofunkcyjnego;219800
300;mazowieckie;otwocki;Miasto;Józefów;Józefów, ul. Mickiewicza 11;Przebudowa, budowa boiska wielofunkcyjnego oraz budowa boiska do siatkówki i zeskoczni do skoku w dal;234200
301;mazowieckie;otwocki;Gmina;Kołbiel;Kołbiel;Budowa boiska piłkarskiego oraz 6-torowej bieżni okrężnej o długości 400m, skoczni do skoku wzwyż i rzutni do pchnięcia kulą;1031000
302;mazowieckie;otwocki;Miasto;Otwock;Otwock, ul. Karczewska 14/16, ul. Słowackiego 66;Budowa boisk do koszykówki i do siatkówki, siłowni zewnętrznej i placu rekreacyjnego dla dziecie przy SP nr 1 oraz 2-torowej bieżni okrężnej o długości 175 m przy SP nr 5;230700
303;mazowieckie;otwocki;Gmina;Wiązowna;Malcanów, ul. Mazowiecka 55;Budowa hali sportowej;1013000
304;mazowieckie;piaseczyński;Powiat;Piaseczyński;"Piaseczno, ul. Chyliczkowska 20; Góra Kalwaria, ul. Budowlanych 14; Konstancin-Jeziorna, ul. Mirkowska 39";Przebudowa, wymiana boiska wielofunkcyjnego przy ul. Chyliczkowskiej w Piasecznie oraz boiska wielofunkcyjnego przy ZSZ w Górze Kalwarii i wymiana ogrodzenia boiska piłkarskiego przy ZS w Konstancinie-Jeziornie;196400
305;mazowieckie;piaseczyński;Gmina;Tarczyn;"Tarczyn, ul. Dolna; Drozdy; Prace Małe, ul. Piaseczyńska 34";Budowa boiska wielofunkcyjnego i skateparku oraz sali gimnastycznej;805400
306;mazowieckie;płocki;Gmina;Mała Wieś;Mała Wieś;Modernizacja boiska piłkarskiego, boiska treningowego i boiska do siatkówki plażowej;267900
307;mazowieckie;płocki;Gmina Miasto;Płock;Płock, ul. Teligi;Budowa boiska wielofunkcyjnego oraz placu zabaw;214400
308;mazowieckie;pruszkowski;Gmina;Brwinów;Brwinów, ul. Grodziska 2;Budowa placu zabaw i siłowni zewnętrznej;100000
309;mazowieckie;pruszkowski;Gmina;Michałowice;"Michałowice, ul. Szkolna 15; Granica, ul. Rekreacyjna/Poprzeczna";"Renowacja; Budowa nawierzchni boiska piłkarskiego i bieżni okrężnej przy Szkole Podstawowej w Michałowicach oraz budowa boiska piłkarskiego w Granicy";878700
310;mazowieckie;pruszkowski;Gmina;Nadarzyn;Parole;Budowa boiska piłkarskiego, placu zabaw i siłowni zewnetrznej;100000
311;mazowieckie;pruszkowski;Gmina;Raszyn;Dawidy Bankowe, ul. Długa 49;Budowa, przebudowa hali sportowej wraz z remontem sali gimnastycznej oraz przebudowa boiska piłkarskiego;1801200
312;mazowieckie;pruszkowski;Gmina;Raszyn;Raszyn, ul. Sportowa 30;Budowa wielofunkcyjnej hali sportowej z halą do podnoszenia ciężarów;7000000
313;mazowieckie;przasnyski;Gmina;Krasne;Krasne, ul. Komisji Edukacji Narodowej 1;Budowa hali sportowej;2740900
314;mazowieckie;przysuski;Gmina;Borkowice;"Wymysłów, ul. Główna 26; Borkowice, ul. Ks. Jana Wiśniewskiego 8";Budowa mini boiska piłkarskiego i siłowni zewnętrznej oraz budowa placu zabaw i siłowni zewnętrznej;150000
315;mazowieckie;pułtuski;Gmina;Pułtusk;Pułtusk, Al. Tysiąclecia 14;Budowa sali gimnastycznej;670000
316;mazowieckie;radomski;Gmina;Jedlnia-Letnisko;Słupica 64;Budowa sali gimnastycznej;490000
317;mazowieckie;radomski;Gmina Miasto;Pionki;Pionki, ul. Sportowa 1;Modernizacja kompleksu lekkoatletycznego oraz boiska piłkarskiego;1370000
318;mazowieckie;radomski;Gmina Miasta;Radom;Radom, ul. Traugutta 52a;Budowa boiska wielofunkcyjnego, boiska do siatkówki plażowej oraz 3-torowej bieżni prostej o dł. 60 m;181000
319;mazowieckie;radomski;Powiat;Radomski;Iłża, ul. Błazińska 5;Budowa boiska wielofunkcyjnego;162300
