Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogó³em z³
147;ma³opolskie;suski;Gmina;Zembrzyce;Tarnwa Dolna;Modernizacja boiska pi³karskiego;149 200,00 z³
148;ma³opolskie;brzeski;Gmina;Brzesko;Brzesko, ul. Legionów Pi³sudskiego;Budowa hali sportowej;1 358 500,00 z³
149;ma³opolskie;nowos¹decki;Gmina;Podegrodzie;Mokra Wieœ, dzia³ka 144/a;Budowa boiska wielofunkcyjnego;100 000,00 z³
150;ma³opolskie;brzeski;Gmina;Dêbno;Maszkienice;Budowa boiska wielofunkcyjnego oraz boiska do pi³ki siatkowej;100 000,00 z³
151;ma³opolskie;tarnowski;Gmina;¯abno;Niedomice, ul. Szkolna 2;Budowa boiska wielofunkcyjnego;113 000,00 z³
152;ma³opolskie;tarnowski;Gmina;¯abno;Otfinów, dz. nr 1237/1 ;Budowa boiska pi³karskiego i boiska wielofunkcyjnego;119 600,00 z³
153;ma³opolskie;nowotarski;Powiat;Nowotarski;Jab³onka, ul. Podhalañska 3;Budowa sali gimnastycznej;945 800,00 z³
154;ma³opolskie;nowos¹decki;Powiat;Nowos¹decki;Marcinkowice, Marcinkowice 1;Budowa boiska wielofunkcyjnego;100 000,00 z³
155;ma³opolskie;wielicki;Gmina;Gdów;Gdów;Budowa hali sportowej;1 338 800,00 z³
156;ma³opolskie;brzeski;Gmina;Gnojnik;Biesiadki;Budowa sali gimnastycznej z ³¹cznikiem;606 500,00 z³
157;ma³opolskie;wielicki;Gmina;Wieliczka;Wieliczka, ul. Bogucka;Budowa trasy nartorolkowej, oraz boiska do pi³ki siatkowej pla¿owej;301 600,00 z³
158;ma³opolskie;m. Tarnów;Gmina Miasta;Tarnowa;Tarnów, ul. Legionów H. D¹browskiego 16;Modernizacja boiska pi³karskiego i bie¿ni lekkoatletycznej;113 400,00 z³
159;ma³opolskie;nowos¹decki;Gmina;Krynica-Zdrój;Tylicz, ul. Kazimierza Wielkiego 9;Budowa sali gimnastycznej;392 600,00 z³
160;ma³opolskie;gorlicki;Gmina;Biecz;Biecz, ul. Bochniewicza 2;Budowa boiska wielofunkcyjnego;94 700,00 z³
161;ma³opolskie;gorlicki;Gmina;Bobowa;Bobowa, ul. Sportowa 2;Remont i rozbudowa stadionu lekkoatletycznego;673 000,00 z³
162;ma³opolskie;limanowski;Gmina;NiedŸwiedŸ;Porêba Wielka;Remont boiska sportowego;69 000,00 z³
163;ma³opolskie;tarnowski;Gmina;Pleœna;Pleœna 228A;Remont hali sportowej;282 500,00 z³
164;ma³opolskie;myœlenicki;Inny;Myœlenicki Oœrodek Kultury i Sportu ;Myœlenice, ul. Ogrodowa 19;Modernizacja hali basenowej na krytej p³ywalni;633 100,00 z³
165;ma³opolskie;oœwiêcimski;Gmina;Kêty;Kêty, ul. Wyspiañskiego 1;Remont sali gimnastycznej wraz z wymian¹ zeskoczni;166 700,00 z³
166;ma³opolskie;myœlenicki;Gmina;Tokarnia;Tokarnia;Remont  boiska pi³karskiego;112 500,00 z³
167;ma³opolskie;bocheñski;Gmina;Bochnia;£apczyca;Remont i doposa¿enie  boiska wielofunkcyjnego;41 100,00 z³
168;ma³opolskie;bocheñski;Gmina;Bochnia;Nieszkowice Wielkie;Remont boiska wielofunkcyjnego;28 400,00 z³
169;ma³opolskie;bocheñski;Gmina;Bochnia;Gaw³ów;Remont boisk sportowych;67 200,00 z³
170;ma³opolskie;bocheñski;Gmina;Bochnia;Proszówki;Remont boiska do pi³ki rêcznej i boiska do pi³ki koszykowej;62 700,00 z³
171;ma³opolskie;tarnowski;Gmina;Rad³ów;Rad³ów, ul. Biskupicka;Remont boiska pi³karskiego;95 400,00 z³
172;ma³opolskie;myœlenicki;Gmina;Raciechowice;Czas³aw 105;Remont sali gimnastycznej;60 800,00 z³
173;ma³opolskie;myœlenicki;Gmina;Raciechowice;Czas³aw 105;Odbudowa boiska wielofunkcyjnego;202 500,00 z³
174;mazowieckie;radomski;Gmina;Jedliñsk;Jedliñsk, ul. Konopnickiej 2;Przebudowa i budowa boiska pi³karskiego, wielofunkcyjnego, bie¿ni okólnej i prostej, plenerowych urz¹dzeñ sportowych oraz budowa si³owni zewnêtrznej;300 000,00 z³
175;mazowieckie;wo³omiñski;Gmina;Zielonka;Zielonka, ul. Staszica 56;Budowa dwóch boisk wielofunkcyjnych oraz bie¿ni okólnej i prostej;270 000,00 z³
176;mazowieckie;przysuski;Gmina;Borkowice;Borkowice, ul. Ks. J. Wiœniewskiego 8;Budowa boiska pi³karskiego;250 000,00 z³
177;mazowieckie;makowski;Gmina;Krasnosielc;Amelin, Amelin 22;Budowa boiska wielofunkcyjnego;200 000,00 z³
178;mazowieckie;grodziski;Gmina;Jaktorów;Miêdzyborów;Budowa boiska pi³karskiego i wielofunkcyjnego, bie¿ni okólnej i terenowych urz¹dzeñ sportowych oraz zaplecza socjalno-szatniowego;480 000,00 z³
179;mazowieckie;ostrowski;Powiat;Ostrowski;Ostrów Mazowiecka, ul. Koœciuszki 36;Budowa sali gimnastycznej;840 000,00 z³
180;mazowieckie;warszawski zachodni;Gmina;B³onie;B³onie, ul. Norwida;Budowa sta³ego lodowiska z budynkiem zaplecza;255 000,00 z³
181;mazowieckie;wo³omiñski;Miasto;Koby³ka;Koby³ka, ul. Za³uskiego 57;Budowa hali sportowej;1 600 000,00 z³
182;mazowieckie;grodziski;Gmina;Jaktorów;Chylice, ul. Warszawska 88;Budowa boiska pi³karskiego;90 000,00 z³
183;mazowieckie;legionowski;Miasto i Gmina;Serock;Serock, ul. Pu³tuska 68;Modernizacja boiska wielofunkcyjnego;90 000,00 z³
184;mazowieckie;grójecki;Gmina;Nowe Miasto nad Pilic¹;Nowe Miasto nad Pilic¹, ul. Ogrodowa 23;Budowa budynku zaplecza;206 300,00 z³
185;mazowieckie;m³awski;Gmina;Wieczfnia Koœcielna;Windyki, Windyki 20;Budowa boiska wielofunkcyjnego;60 000,00 z³
