Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogó³em z³
414;wielkopolskie;rawicki;Gmina;Rawicz;Mas³owo, ul. Œl¹ska 58;Budowa sali gimnastycznej;562 500,00 z³
415;wielkopolskie;wrzesiñski;Gmina;Nekla;Zasutowo, ul. Kwiatowa 5 ;Budowa hali sportowej;734 000,00 z³
416;wielkopolskie;ostrowski;Gmina Miasto;Ostrów Wielkopolski ;Ostrów Wielkopolski, ul. Batorego 2;Budowa pe³nowymiarowej sali sportowa;1 125 000,00 z³
417;wielkopolskie;m. Leszno;Miasto;Leszno;Leszno, ul. 17 stycznia 68;Budowa zadaszonego lodowiska wraz z zapleczem;991 100,00 z³
418;wielkopolskie;krotoszyñski;Miasto i Gmina;Krotoszyn;Krotoszyn, al.. Powstañców Wlkp. 13;Budowa hali sportowo-widowiskowej;2 000 000,00 z³
419;wielkopolskie;nowotomyski;Gmina;Zb¹szyñ;Zb¹szyñ;Budowa bie¿ni okólnej i terenowych urz¹dzeñ sportowych;504 882,00 z³
420;wielkopolskie;poznañski;Miasto;Puszczykowo;Puszczykowo, ul. Koœcielna 7;Budowa wielofunkcyjnego boiska sportowego;102 000,00 z³
421;wielkopolskie;s³upecki;Powiat;S³upecki;Strza³kowo, ul. Górna 12;Przebudowa hali sportowej;114 200,00 z³
422;wielkopolskie;obornicki;Gmina;Oborniki;Obornik, ul. Objezierska 2;Przebudowa i remont boiska pi³karskiego oraz remont budynku zaplecza;211 800,00 z³
423;wielkopolskie;nowotomyski;Gmina;Opalenica;Opalenica, ul. Poznañska 37;Modernizacja sali sportowej;138 000,00 z³
424;wielkopolskie;kolski;Gmina;Babiak;Ozorzyn Babiak, ul. Poznañska 22;Modernizacja kompleksu lekkoatletycznego i boiska;575 400,00 z³
425;wielkopolskie;chodzieski;Gmina Miejska;Chodzie¿;Chodzie¿, ul. Kochanowskiego 1;Rozbudowa sali gimnastycznej oraz adaptacja pomieszczeñ na zaplecze sanitarno-szatniowe;668 900,00 z³
426;wielkopolskie;gnieŸnieñski;Gmina Miasto;Gniezno;Gniezno, ul. Strumykowa 8;Przebudowa boiska sportowego;1 000 000,00 z³
427;wielkopolskie;s³upecki;Gmina Miejska;S³upca;S³upca, ul. Gajowa 4;Przebudowa kompleksu lekkoatletycznego;369 900,00 z³
428;wielkopolskie;s³upecki;Powiat;S³upecki;S³upca, ul. Kopernika 11A;Remont sali gimnastycznej;26 000,00 z³
429;wielkopolskie;turecki;Gmina Miejska;Turek;Turek, ul. Sportowa 9;Przebudowa  sali gimnastycznej z zapleczem;281 600,00 z³
430;wielkopolskie;s³upecki;Gmina;L¹dek ;L¹dek, ul. Pyzderska 31;Przebudowa i budowa boiska pi³karskiego i wielofunkcyjnego oraz budowa skoczni do skoku w dal;214 600,00 z³
431;wielkopolskie;w¹growiecki;Gmina Miejska;W¹growiec;W¹growiec, ul. Koœciuszki 59;Remont hali widowiskowo-sportowej;112 300,00 z³
432;wielkopolskie;wolsztyñski;Gmina;Wolsztyn;Wolsztyn, ul. Drzyma³y;Rozbudowa i remont budynku przystani kajakowej i pomostu;214 400,00 z³
433;wielkopolskie;szamotulski;Miasto i Gmina;Szamotu³y;Otorowo;Przebudowa  bie¿ni sportowej;82 600,00 z³
434;wielkopolskie;w¹growiecki;Gmina;W¹growiec;W¹growiec, ul. Kolejowa 14;Remont boiska wielofunkcyjnego;216 700,00 z³
435;wielkopolskie;wrzesiñski;Powiat;Wrzesiñski;Wrzeœnia, ul. Witkowska 1;Budowa  boiska wielofunkcyjnego;218 300,00 z³
436;wielkopolskie;pleszewski;Klub sportowy;Sport Pleszew sp. z o.o.;Pleszew, al. Wojska Polskiego 17;Remont kompleksu lekkoatletycznego;697 600,00 z³
437;zachodniopomorskie;goleniowski;Gmina;Goleniów;Goleniów, ul. Sportowa 25;Przebudowa stadionu miejskiego-lekkoatletycznego;850 000,00 z³
438;zachodniopomorskie;gryficki;Gmina;Gryfice;Gryfice, ul. Sienkiewicza 10;Budowa basenu;2 700 000,00 z³
439;zachodniopomorskie;œwidwiñski;Powiat;Œwidwiñski;Œwidwin, ul. Szczeciñska 88;Budowa hali sportowej;1 500 000,00 z³
440;zachodniopomorskie;bia³ogardzki;Inny;Bia³ogardzki Oœrodek Sportu i Rekreacji Sp. z o.o.;Bia³ogard, ul. Moniuszki;Budowa krytej p³ywalni;3 000 000,00 z³
441;zachodniopomorskie;M. Koszalin;Inny;Zarz¹d Obiektów Sportowych Spó³ka z o.o.;Koszalin, ul. Rolna;Budowa kompleksu Wodno-Rekreacyjnego;3 000 000,00 z³
442;zachodniopomorskie;m. Szczecin;Gmina Miasto;Szczecin;Szczecin, ul. Kazimierza Królewicz 63;Budowa krytej p³ywalni;3 000 000,00 z³
443;zachodniopomorskie;goleniowski;Gmina;Stepnica;Racimierz, ul. Niepodleg³oœci 9;Budowa sali gimnastycznej;400 000,00 z³
444;zachodniopomorskie;kamieñski;Gmina;Kamieñ Pomorski;Kamieñ Pomorski, ul. Woliñska;Przebudowa boiska pi³karskiego;628 400,00 z³
445;zachodniopomorskie;pyrzycki;Gmina;Warnice;Warnice, Obryta;Rozbudowa bazy sportowej;200 000,00 z³
446;zachodniopomorskie;drawski;Gmina;Drawsko Pomorskie;Drawsko Pomorskie, ul. Obroñców Westerplatte 13;Budowa hali sportowej;952 600,00 z³
447;zachodniopomorskie;koszaliñski;Inny;Zarz¹d Obiektów Sportowych Spó³ka z o.o.;Koszalin, ul. G³owackiego 3-5;Remont krytej p³ywalni;26 400,00 z³
448;wielkopolskie;gnieŸnieñski;Miasto;Gniezno;Gniezno, ul. Zab³ockiego;Remont boiska do hokeja na trawie;800 000,00 z³
449;zachodniopomorskie;m. Szczecin;Gmina Miasto;Szczecin;Szczecin, ul. Ma³opolska;Budowa hali specjalistycznej;2 548 500,00 z³
450;³ódzkie;tomaszowski;Gmina Miasto;Tomaszów Mazowiecki;Tomaszów Mazowiecki, ul. Strzelecka 24;Modernizacja maszynowni toru ³y¿wiarskiego;1 880 900,00 z³
451;podlaskie;m. Suwa³ki;Miasto;Suwa³ki;Suwa³ki, ul. Wojska Polskiego 17;Rozbudowa i przebudowa stadionu lekkoatletycznego Oœrodka Sportu i Rekreacji;3 800 000,00 z³
452;mazowieckie;m. st. Warszawa;AWF;Warszawa;Warszawa, ul. Marymoncka 34;Przebudowa stadionu lekkoatletycznego AWF Warszawa;4 443 000,00 z³
453;pomorskie;m. Sopot;Gmina Miasta;Sopotu;Sopot, ul. Jana z Kolna 18;Modernizacja stadionu rugby;2 400 000,00 z³
454;wielkopolskie;m. Poznañ;Szko³a/Uczelnia;Politechnika Poznañska;Poznañ, ul. Przystañ;Budowa hali sportowej na terenie kampusu Politechniki Poznañskiej;8 000 000,00 z³
455;³ódzkie;be³chatowski;Powiat;Be³chatowski;Be³chatów, ul. Czapliniecka 96;Przebudowa  stadionu lekkoatletycznego przy Powiatowym Centrum Sportu w Be³chatowie;3 200 000,00 z³
456;wielkopolskie;pilski;Gmina;Pi³a ;Pi³a, ul. ¯eromskiego 90;Remont i przebudowa stadionu lekkoatletycznego w Pile - I etap - wymiana nawierzchni syntetycznej;1 200 000,00 z³
457;pomorskie;M. Gdañsk;Klub sportowy;Gdañski Klub Sportowy Stoczniowiec;Gdañsk, al. Grunwaldzka 470;Modernizacja i przebudowa hali sportowo-widowiskowej Olivia w Gdañsku wraz z infrastruktur¹ techniczn¹ - II etap;8 500 000,00 z³
458;mazowieckie;m. st. Warszawa;COS;COS Warszawa;Warszawa, ul. £azienkowska 6a;Przebudowa i remont  hali Torwar II - I etap;3 600 000,00 z³
459;œl¹skie;m. Chorzów;Inny;Stadion Œl¹ski Sp. z o.o.;Chorzów, ul. Katowicka 10;Przebudowa  zaplecza rozgrzewkowo-treningowego na przedpolu wschodnim Stadionu Œl¹skiego w ramach zadania zadaszenie widowni oraz niezbêdna infrastruktura techniczna Stadionu Œl¹skiego w Chorzowie;3 000 000,00 z³
460;wielkopolskie;nowotomyski;Powiat;Nowotomyski;Nowy Tomyœl, os. Pó³noc 39;Budowa hal sportowych w ramach M³odzie¿owego Centrum PODNOSZENIA Ciê¿arów w Nowym Tomyœlu;2 600 000,00 z³
461;wielkopolskie;nakielski;Gmina;Mrocza;Mrocza, 30-lecia LWP 4;Budowa hali sportowej do podnoszenia ciê¿arów i hali sportowej;5 000 000,00 z³
462;œl¹skie;bielski;COS;COS OPO w Szczyrku;Szczyrk, ul Pla¿owa 8;Instalacja instalacja mro¿enia rozbiegu skoczni K-40 na terenie COS OPO w Szczyrku;200 000,00 z³
463;ma³opolskie;tatrzañski;COS;COS OPO w Zakopanem;Zakopane, ul. Bronis³awa Czecha 1;Budowa hali sportowej wielofunkcyjnej w COS OPO w Zakopanem;22 766 500,00 z³
464;ma³opolskie;oœwiêcimski;Miasto;Oœwiêcim;Oœwiêcim, Chemików 2;Przebudowa i rozbudowa krytej p³ywalni w Oœwiêcimiu;22 325 300,00 z³
465;³ódzkie;tomaszowski;COS;COS OPO w Spale;Spa³a, al.. Moœcickiego 6;Przebudowa  stadionu treningowego - budowa sektora do rzutów d³ugich, boiska do pi³ki no¿nej i zaplecza magazynowego w COS OPO w Spale ;4 000 000,00 z³
466;ma³opolskie;m. Kraków;Gmina Miejska;Kraków;Kraków, ul. Podchor¹¿ych 3;Remont i przebudowa obiektów i urz¹dzeñ sportowych WKS Wawel;4 000 000,00 z³
467;dolnoœl¹skie;wroc³awski;Gmina;Wroc³aw;Wroc³aw;Budowa krytej p³ywalni - basenu olimpijskiego oraz niecki rozgrzewkowej;23 000 000,00 z³
468;lubelskie;pu³awski;Miasto;Pu³awy;Al.. Partyzantów 11;Przebudowa  kortów tenisowych-budowa hali tenisowej;1 500 000,00 z³
469;œl¹skie;m. Zabrze;Miasto;Zabrze;ul. Olimpijska;Budowa hali tenisowej wraz z infrastruktur¹ towarzysz¹c¹;1 500 000,00 z³
470;kujawsko-pomorskie;m. Bydgoszcz;Miasto;Bydgoszcz;Gdañska 163;Budowa hali tenisowej;1 415 300,00 z³
471;podkarpackie;rzeszowski;Gmina Miasto;Rzeszów;ul. Ks. Ja³owego 23a;Budowa zadaszenia dwóch kortów tenisowych i zaplecza;599 900,00 z³
