Lp;Województwo;Powiat;Wnioskodawca;Nazwa Wnioskodawcy;Lokalizacja zadania: adres;Nazwa zadania;Dofinansowanie ogółem zł
311;podkarpackie;jasielski;Gmina;Nowy Żmigród;Nowy Żmigród, ul. Mickiewicza 2;Budowa hali sportowej;2 900 000,00
312;podkarpackie;kolbuszowski;Gmina;Cmolas;Cmolas, Cmolas 237B;Modernizacja krytej pływalni;100 000,00
313;podkarpackie;kolbuszowski;Powiat;Kolbuszowski;Kolbuszowa, ul. Jana Pawła II 8;Przebudowa boiska wielofunkcyjnego;282 300,00
314;podkarpackie;krośnieński;Gmina;Miejsce Piastowe;Głowienka, ul. Szkolna;Budowa sali gimnastycznej;600 000,00
315;podkarpackie;krośnieński;Województwo;Podkarpackie;Rymanów Zdroj, działka nr 433;Przebudowa boiska wielofunkcyjnego i budowa placu zabaw;90 000,00
316;podkarpackie;krośnieński;Gmina;Chorkówka;Świerzowa Polska, ul. Szkolna 31;Budowa sali gimnastycznej;600 000,00
317;podkarpackie;krośnieński;Gmina;Rymanów;Posada Górna;Budowa boiska wielofunkcyjnego i placu zabaw;100 000,00
318;podkarpackie;krośnieński;Gmina;Dukla;Dukla, działka nr 206/47;Budowa boiska do piłki nożnej plażowej i siatkówki plażowej;156 200,00
319;podkarpackie;krośnieński;Gmina;Jedlicze;Jedlicze, ul. Kościuszki;Budowa sztucznego lodowiska;500 000,00
320;podkarpackie;krośnieński;Gmina;Wojaszówka;Łęki Strzyżowskie;Przebudowa boiska piłkarskiego;133 000,00
321;podkarpackie;leski;Gmina;Lesko;Lesko, ul. Bieszczadzka;Budowa boiska wielofunkcyjnego (sztucznego lodowiska), boisk plażowych do piłki nożnej i siatkówki, ścieżki rowerowej i placu zabaw dla dzieci;1 305 000,00
322;podkarpackie;lubaczowski;Gmina Miejska;Lubaczów;Lubaczów, ul. Marii Konopnickiej;Remont i przebudowa 2 sal gimnastycznych;914 000,00
323;podkarpackie;łańcucki;Gmina;Rakszawa;;Przebudowa sali gimnastycznej;1 200 000,00
324;podkarpackie;łańcucki;Gmina;Łańcut;Handzlówka;Budowa sali gimnastycznej;600 000,00
325;podkarpackie;łańcucki;Gmina;Czarna;Krzemienica, działka nr 823/10;Przebudowa boiska wielofunkcyjnego;221 200,00
326;podkarpackie;m. Krosno;Gmina Miasto;Krosno;Krosno, ul. Szpetnara 9;Budowa sali gimnastycznej;823 100,00
327;podkarpackie;m. Krosno;Gmina;Krosno;Krosno, ul. Bursaki 41;Przebudowa odkrytych kortów tenisowych;310 300,00
328;podkarpackie;m. Krosno;Gmina;Krosno;Krosno, ul. Bema 46;Przebudowa boiska wielofunkcyjnego;239 500,00
329;podkarpackie;m. Krosno;Gmina;Krosno;Krosno, ul. Bursaki;Remont hali sportowej;786 900,00
330;podkarpackie;m. Przemyśl;Gmina Miejska;Przemyśl;Przemyśl, ul. Dworskiego;Budowa 2 budynków zaplecza, bieżni prostej, rzutni do pchnięcia kulą i trybuny zadaszonej;900 000,00
331;podkarpackie;m. Rzeszów;Gmina Miasto;Rzeszów;Rrzeszów, ulice: Bernardyńska 4, Bulwarowa 3, Rejtana 3, Sucharskiego 4, Solarza 12;Budowa 5 boisk wielofunkcyjnych, 2 boisk do siatkówki, boiska do piłki plażowej, boiska od piłki ręcznej, 2 kortów tenisowych i urządzeń lekkoatletycznych;1 000 000,00
332;podkarpackie;m. Rzeszów;Inny;Podkarpackie Towarzystwo Krzewienia Kultury Fizycznej w Rzeszowie;Rzeszów, ul. 17 Pułku Piechoty;Przebudowa 3 sal gimnastycznych i zaplecza ośrodka rehabilitacyjno-rekreacyjnego;699 700,00
333;podkarpackie;m. Tarnobrzeg;Gmina;Tarnobrzeg;Tarnobrzeg, ul. Zwierzyniecka;Budowa trzech kortów do tenisa ziemnego wraz z budynkiem zaplecza;300 000,00
334;podkarpackie;m. Tarnobrzeg;Miasto;Tarnobrzeg;Tarnobrzeg, al. Niepodległości 2;Remont krytej pływalni;341 600,00
